Source,Target,Weight_x,Weight_y,Weight
e8342,z853,0.0284,0.0282,0.028999999999999998
e8342,r740,0.0313,0.0345,0.0242
e8342,i252,0.0445,0.0436,0.0405
e8342,z95810,0.0216,0.0213,0.0222
e8342,i248,0.0203,0.0205,0.0257
e8342,z9119,0.0462,0.0427,0.038
e8342,b9620,0.0521,0.0518,0.0494
e8342,g40909,0.0392,0.0389,0.0388
e8342,r627,0.0302,0.026000000000000002,0.0283
e8342,r6510,0.0267,0.0213,0.0266
e8342,e1140,0.0372,0.0319,0.0365
e8342,j45909,0.0392,0.0421,0.0354
e8342,n182,0.0169,0.0182,0.0174
e8342,z681,0.0581,0.0494,0.0561
e8342,z9221,0.0373,0.0325,0.03
e8342,f319,0.0293,0.0283,0.0291
e8342,a0472,0.0319,0.024,0.026000000000000002
e8342,m6282,0.031,0.0293,0.0357
e8342,f1510,0.0255,0.0277,0.0271
e8342,z590,0.0281,0.027000000000000003,0.0298
e8342,n401,0.0281,0.0229,0.0236
e8342,k3184,0.0194,0.0198,0.0218
e8342,z881,0.0253,0.0208,0.0198
e8342,e162,0.0194,0.018000000000000002,0.0213
e8342,z9114,0.0404,0.0373,0.0365
e8342,e873,0.0279,0.0243,0.027999999999999997
e8342,r64,0.0202,0.0182,0.0219
e8342,j9811,0.0461,0.0508,0.0418
e8342,z8249,0.0398,0.0363,0.0296
e8342,r197,0.0588,0.0536,0.057999999999999996
e8342,m797,0.0252,0.0245,0.0247
e8342,b961,0.0306,0.0254,0.0249
e8342,k2970,0.0268,0.0233,0.0253
e8342,i471,0.035,0.0303,0.0301
e8342,e43,0.0757,0.0682,0.0712
e8342,e8351,0.1001,0.0965,0.1137
e8342,i214,0.0218,0.0266,0.0235
e8342,i2720,0.0531,0.0563,0.0459
e8342,i472,0.0356,0.0315,0.0359
e8342,k8590,0.0199,0.0212,0.0239
e8342,z882,0.031,0.0251,0.0256
e8342,z885,0.0321,0.0282,0.028999999999999998
e8342,e8352,0.0317,0.0311,0.0319
e8342,r338,0.0199,0.0166,0.0186
e8342,r000,0.0477,0.0437,0.051
e8342,d539,0.0384,0.0358,0.0443
e8342,i340,0.0222,0.0213,0.019
e8342,e870,0.0457,0.042,0.0461
e8342,i5022,0.028999999999999998,0.028999999999999998,0.0314
e8342,e869,0.0233,0.0222,0.0206
e8342,n184,0.0244,0.0238,0.0216
e8342,i493,0.0186,0.0162,0.0193
e8342,f17200,0.0427,0.0343,0.0291
e8342,z888,0.0329,0.0318,0.03
e8342,k7460,0.0312,0.0304,0.0298
e8342,r5381,0.0293,0.0258,0.0251
e8342,f10231,0.0218,0.0194,0.0237
e8342,e782,0.019,0.0222,0.0242
e8342,m810,0.0327,0.0333,0.0345
e8342,i4820,0.0229,0.0445,0.0367
e8342,r112,0.0494,0.0482,0.0518
e8342,k7030,0.0307,0.0316,0.0399
